Bay,y_start[m],y_end[m],spacing[mm],y_mid[m],chord_mid[mm],h_box_mid[mm],A_m_mid[mm2],V_mid[N],M_mid[N.m],T_mid[N.m],tau_skin[MPa],sigma_comp[MPa],tau_allow[MPa],sigma_allow[MPa],tau_cr[MPa],sigma_cr[MPa],R_combined,MoS_shear_allow,MoS_shear_buckle,MoS_comp_allow,MoS_comp_buckle,sigma_vm_FS[MPa],sigma_vm_RS[MPa],pass_shear_buckle,pass_comp_buckle,pass_combined,pass_shear_allow,pass_comp_allow,pass_all
1,0.000000,0.083708,83.71,0.041854,834.20,141.81,53253.19,630.85,678.5276,-51.5069,0.3253,8.2992,30.0000,50.0000,10.6197,8.4957,0.977801,92.2132,32.6425,6.0247,1.0237,103.9299,70.6210,True,True,True,True,True,True
2,0.083708,0.169629,85.92,0.126669,819.08,139.24,51351.36,603.87,626.8129,-48.7020,0.3190,7.9361,30.0000,50.0000,10.0799,8.0639,0.985150,94.0418,31.5977,6.3003,1.0161,99.1072,67.3228,True,True,True,True,True,True
3,0.169629,0.257355,87.73,0.213492,803.61,136.61,49404.49,576.26,573.8735,-45.8306,0.3125,7.5634,30.0000,50.0000,9.6693,7.7354,0.978804,95.9958,30.9404,6.6108,1.0227,94.1703,63.9465,True,True,True,True,True,True
4,0.257355,0.347624,90.27,0.302490,787.75,133.92,47499.35,548.14,525.5106,-43.0394,0.3055,7.1808,30.0000,50.0000,9.1321,7.3057,0.984021,98.2093,29.8952,6.9631,1.0174,89.2501,60.5857,True,True,True,True,True,True
5,0.347624,0.441003,93.38,0.394313,771.39,131.14,45536.93,519.14,475.8217,-40.1649,0.2977,6.7845,30.0000,50.0000,8.5340,6.8272,0.994956,100.7609,28.6633,7.3697,1.0063,84.1787,57.1217,True,True,True,True,True,True
6,0.441003,0.536824,95.82,0.488913,754.53,128.27,43574.09,489.52,428.4316,-37.3131,0.2896,6.3745,30.0000,50.0000,8.1046,6.4836,0.984445,103.5743,27.9808,7.8437,1.0171,79.0492,53.6211,True,True,True,True,True,True
7,0.536824,0.635430,98.61,0.586127,737.20,125.32,41598.73,459.25,382.4247,-34.4602,0.2804,5.9531,30.0000,50.0000,7.6531,6.1225,0.973677,106.9815,27.2914,8.3990,1.0285,73.8455,50.0720,True,True,True,True,True,True
8,0.635430,0.738899,103.47,0.687165,719.20,122.26,39585.43,428.05,337.1267,-31.5753,0.2709,5.5195,30.0000,50.0000,6.9508,5.5606,0.994116,110.7299,25.6553,9.0589,1.0075,68.5040,46.4311,True,True,True,True,True,True
9,0.738899,0.845986,107.09,0.792443,700.43,119.07,37556.94,396.00,294.3197,-28.7093,0.2600,5.0688,30.0000,50.0000,6.4889,5.1912,0.978030,115.3951,24.9597,9.8643,1.0241,63.0549,42.7210,True,True,True,True,True,True
10,0.845986,0.958877,112.89,0.902431,680.83,115.74,35476.19,362.86,251.9716,-25.7981,0.2485,4.6030,30.0000,50.0000,5.8390,4.6712,0.987223,120.7339,23.4987,10.8624,1.0148,57.4316,38.8946,True,True,True,True,True,True
11,0.958877,1.078893,120.02,1.018885,660.08,112.21,33354.87,328.51,212.1759,-22.8922,0.2353,4.1232,30.0000,50.0000,5.1662,4.1329,0.999727,127.5067,21.9574,12.1264,1.0024,51.6254,34.9486,True,True,True,True,True,True
12,1.078893,1.206432,127.54,1.142663,638.02,108.46,31163.63,292.73,173.6526,-19.9483,0.2210,3.6157,30.0000,50.0000,4.5747,3.6598,0.990300,135.7433,20.6995,13.8285,1.0122,45.5858,30.8478,True,True,True,True,True,True
13,1.206432,1.342279,135.85,1.274356,614.55,104.47,28903.23,255.49,136.8846,-16.9781,0.2043,3.1026,30.0000,50.0000,4.0323,3.2258,0.964359,146.8158,19.7335,16.1156,1.0397,39.3073,26.5891,True,True,True,True,True,True
14,1.342279,1.491827,149.55,1.417053,589.12,100.15,26578.38,216.96,104.0882,-14.0573,0.1860,2.5709,30.0000,50.0000,3.3273,2.6618,0.968960,161.2850,17.8880,19.4486,1.0354,32.8282,22.2009,True,True,True,True,True,True
15,1.491827,1.662429,170.60,1.577128,560.59,95.30,24064.33,175.35,72.3818,-11.0125,0.1646,2.0184,30.0000,50.0000,2.5567,2.0454,0.990975,182.2852,15.5350,24.7716,1.0133,25.8658,17.4896,True,True,True,True,True,True
16,1.662429,1.863323,200.89,1.762876,527.49,89.67,21299.70,130.01,43.5400,-7.8647,0.1384,1.4558,30.0000,50.0000,1.8438,1.4750,0.992590,216.8105,13.3252,34.3452,1.0132,18.3759,12.4270,True,True,True,True,True,True
17,1.863323,2.118564,255.24,1.990943,486.84,82.76,18149.82,80.21,19.7603,-4.6462,0.1058,0.8868,30.0000,50.0000,1.1422,0.9138,0.979018,283.5249,10.7949,56.3851,1.0305,10.5008,7.1082,True,True,True,True,True,True
18,2.118564,2.522666,404.10,2.320615,428.09,72.78,14042.44,22.95,3.3166,-1.2741,0.0625,0.3493,30.0000,50.0000,0.4557,0.3646,0.976946,479.7527,7.2873,143.1510,1.0437,2.6276,1.7841,True,True,True,True,True,True
19,2.522666,2.597500,74.83,2.560083,385.41,65.52,11379.91,2.38,0.2578,-0.1310,0.0066,0.0190,30.0000,50.0000,13.2879,10.6303,0.001788,4574.9082,2026.3595,2630.9218,559.3496,0.2583,0.1756,True,True,True,True,True,True
